i,yhat,loop,loop_time
1,2.424908035350376,1,1.140970230102539
66,2.7439073932414533,1,1.140970230102539
121,2.637418149055623,1,1.140970230102539
166,3.42003332457104,1,1.140970230102539
231,3.4558025216788,1,1.140970230102539
266,4.604783405987721,1,1.140970230102539
311,3.159527778736747,1,1.140970230102539
396,6.101499831885052,1,1.140970230102539
411,1.529609472519642,1,1.140970230102539
456,3.17429449255815,1,1.140970230102539
501,2.87388643636573,1,1.140970230102539
591,0.6719261645921575,1,1.140970230102539
606,0.4230480880923072,1,1.140970230102539
691,9.786167117389938,1,1.140970230102539
711,4.481888821159587,1,1.140970230102539
766,2.796258661505269,1,1.140970230102539
811,12.279133219600824,1,1.140970230102539
886,3.077558390015503,1,1.140970230102539
981,2.3616416500622335,1,1.140970230102539
996,2.7377637796431835,1,1.140970230102539
1006,2.2364659621227228,1,1.140970230102539
1091,6.216642904900638,1,1.140970230102539
1106,2.9907501037400763,1,1.140970230102539
1116,3.7229299462581356,1,1.140970230102539
1121,5.167548051915645,1,1.140970230102539
1221,4.427826549481734,1,1.140970230102539
1231,4.727265335850768,1,1.140970230102539
1246,5.154767607070423,1,1.140970230102539
1261,7.044218479981782,1,1.140970230102539
1311,3.125719756650042,1,1.140970230102539
1391,3.9721106277732137,1,1.140970230102539
1436,5.414882302205781,1,1.140970230102539
1466,1.4106127287434587,1,1.140970230102539
1521,7.504660127519124,1,1.140970230102539
1566,4.8018641684988586,1,1.140970230102539
1611,1.618039384682738,1,1.140970230102539
1681,2.7981928702658503,1,1.140970230102539
1726,1.5060283914227253,1,1.140970230102539
1786,1.6987516457788874,1,1.140970230102539
1821,3.3239290430739032,1,1.140970230102539
1906,2.434448635219416,1,1.140970230102539
1921,2.3788865527271192,1,1.140970230102539
1981,2.471501774543822,1,1.140970230102539
2026,0.5179591463065012,1,1.140970230102539
2056,3.59096757471351,1,1.140970230102539
2126,3.4941917456266993,1,1.140970230102539
2,2.3969680342549906,2,0.005373954772949219
67,5.48448234589748,2,0.005373954772949219
122,4.487949688002323,2,0.005373954772949219
167,6.24307279101284,2,0.005373954772949219
232,4.880277615273269,2,0.005373954772949219
267,7.0401694605643215,2,0.005373954772949219
312,4.887761792694504,2,0.005373954772949219
397,2.776614049725818,2,0.005373954772949219
412,6.395481214127038,2,0.005373954772949219
457,1.6026772815737498,2,0.005373954772949219
502,4.788307462249322,2,0.005373954772949219
592,4.837172740070571,2,0.005373954772949219
607,1.9229735087783757,2,0.005373954772949219
692,9.424372127050551,2,0.005373954772949219
712,2.125361862619606,2,0.005373954772949219
767,5.642777526944935,2,0.005373954772949219
812,15.522461416691197,2,0.005373954772949219
887,8.279665707335514,2,0.005373954772949219
982,11.172592260914882,2,0.005373954772949219
997,2.731808099687195,2,0.005373954772949219
1007,4.994128452510413,2,0.005373954772949219
1092,12.061253622277144,2,0.005373954772949219
1107,18.03824868960516,2,0.005373954772949219
1117,2.3455427288119304,2,0.005373954772949219
1122,11.942636192689495,2,0.005373954772949219
1222,4.788775513368006,2,0.005373954772949219
1232,4.599700678845477,2,0.005373954772949219
1247,2.54017159547368,2,0.005373954772949219
1262,9.597111498105635,2,0.005373954772949219
1312,9.05178831144248,2,0.005373954772949219
1392,20.02461869254243,2,0.005373954772949219
1437,2.76630488216066,2,0.005373954772949219
1467,7.832525043475098,2,0.005373954772949219
1522,11.183319108244639,2,0.005373954772949219
1567,5.152778333668495,2,0.005373954772949219
1612,7.524239519132165,2,0.005373954772949219
1682,3.350700623168005,2,0.005373954772949219
1727,1.1803353472784939,2,0.005373954772949219
1787,2.959444264514735,2,0.005373954772949219
1822,4.3773410417772824,2,0.005373954772949219
1907,5.4441364567486605,2,0.005373954772949219
1922,10.91770911262125,2,0.005373954772949219
1982,1.1869495563450208,2,0.005373954772949219
2027,3.245776240562371,2,0.005373954772949219
2057,1.7314528005826328,2,0.005373954772949219
